,2024 RANK,2023 RANK,Institution Name,Country
0,rank display,rank display2,institution,location
7,7,9,ETH Zurich - Swiss Federal Institute of Technology,Switzerland
8,8,11,National University of Singapore (NUS),Singapore
17,17,12,Peking University,China (Mainland)
24,24,26,Université PSL,France
25,25,14,Tsinghua University,China (Mainland)
26,26,19,"Nanyang Technological University, Singapore (NTU)",Singapore
27,26,21,The University of Hong Kong,Hong Kong SAR
29,28,23,The University of Tokyo,Japan
36,36,16,EPFL,Switzerland
37,37,49,Technical University of Munich,Germany
38,38,48,Institut Polytechnique de Paris,France
41,41,29,Seoul National University,South Korea
44,44,42,Zhejiang University,China (Mainland)
46,46,36,Kyoto University,Japan
47,47,61,Delft University of Technology,Netherlands
49,47,38,The Chinese University of Hong Kong (CUHK),Hong Kong SAR
50,50,34,Fudan University,China (Mainland)
51,51,46,Shanghai Jiao Tong University,China (Mainland)
53,53,58,University of Amsterdam,Netherlands
54,54,59,Ludwig-Maximilians-Universität München,Germany
56,56,42,KAIST - Korea Advanced Institute of Science & Technology,South Korea
59,59,60,Sorbonne University,France
60,60,40,The Hong Kong University of Science and Technology,Hong Kong SAR
61,61,76,KU Leuven,Belgium
65,65,65,The Hong Kong Polytechnic University,Hong Kong SAR
66,65,70,Universiti Malaya (UM),Malaysia
68,68,87,The University of Auckland,New Zealand
69,69,77,National Taiwan University (NTU),Taiwan
70,70,54,City University of Hong Kong,Hong Kong SAR
71,71,69,Université Paris-Saclay,France
74,73,89,KTH Royal Institute of Technology ,Sweden
77,76,73,Yonsei University,South Korea
79,79,74,Korea University,South Korea
80,80,68,Osaka University,Japan
81,81,98,"Trinity College Dublin, The University of Dublin",Ireland
85,85,95,Lund University,Sweden
86,85,115,Universidade de São Paulo,Brazil
87,87,75,Lomonosov Moscow State University,Russia
88,87,65,Ruprecht-Karls-Universität Heidelberg,Germany
91,91,55,Tokyo Institute of Technology (Tokyo Tech),Japan
92,91,83,University of Zurich,Switzerland
94,93,104,Universidad Nacional Autónoma de México (UNAM),Mexico
95,95,67,Universidad de Buenos Aires (UBA),Argentina
98,98,118,Freie Universitaet Berlin,Germany
100,100,71,Pohang University of Science And Technology (POSTECH),South Korea
103,103,121,Pontificia Universidad Católica de Chile (UC),Chile
105,105,128,Uppsala University,Sweden
106,106,147,RWTH Aachen University,Germany
107,107,82,University of Copenhagen,Denmark
108,107,112,Utrecht University,Netherlands
109,109,116,Aalto University,Finland
113,113,79,Tohoku University,Japan
115,115,106,University of Helsinki,Finland
117,117,101,University of Oslo,Norway
118,118,153,Stockholm University,Sweden
119,119,141,"KIT, Karlsruhe Institute of Technology",Germany
120,120,131,Humboldt-Universität zu Berlin,Germany
121,121,104,Technical University of Denmark,Denmark
123,123,139,Politecnico di Milano,Italy
124,124,138,Eindhoven University of Technology,Netherlands
125,124,136,University of Basel,Switzerland
126,126,131,Leiden University,Netherlands
127,126,120,University of Bern,Switzerland
128,128,125,University of Geneva,Switzerland
129,129,125,Chalmers University of Technology,Sweden
131,130,151,University of Vienna,Austria
134,134,171,Sapienza University of Rome,Italy
137,137,143,Universiti Sains Malaysia (USM),Malaysia
138,137,94,University of Science and Technology of China,China (Mainland)
139,139,145,University of Groningen,Netherlands
141,141,133,Nanjing University,China (Mainland)
143,143,161,Aarhus University,Denmark
144,143,106,King Abdulaziz University (KAU),Saudi Arabia
147,145,99,Sungkyunkwan University(SKKU),South Korea
149,149,172,Indian Institute of Technology Bombay (IITB),India
150,149,178,Universitat Autònoma de Barcelona,Spain
152,151,124,Wageningen University & Research,Netherlands
154,154,167,Alma Mater Studiorum - University of Bologna,Italy
156,154,158,Technische Universität Berlin (TU Berlin),Germany
158,158,123,Universiti Putra Malaysia (UPM),Malaysia
159,159,143,Ghent University,Belgium
160,159,167,Universidad de Chile,Chile
161,159,129,Universiti Kebangsaan Malaysia (UKM),Malaysia
164,164,157,Hanyang University,South Korea
165,164,135,Kyushu University,Japan
166,164,184,Universitat de Barcelona,Spain
171,171,226,Complutense University of Madrid,Spain
172,171,181,University College Dublin,Ireland
173,173,208,Qatar University,Qatar
175,173,237,University of Cape Town,South Africa
176,176,208,Erasmus University Rotterdam ,Netherlands
177,176,112,Nagoya University,Japan
180,180,160,King Fahd University of Petroleum & Minerals,Saudi Arabia
181,180,195,Université catholique de Louvain (UCLouvain),Belgium
184,184,111,École Normale Supérieure de Lyon,France
185,184,179,Technische Universität Wien,Austria
