,2025 Rank,2024 Rank,Institution Name
0,13,14,The University of Melbourne
1,18,19,The University of Sydney
2,19,19,The University of New South Wales (UNSW Sydney)
3,30,34,The Australian National University
4,37,42,Monash University
5,40,43,The University of Queensland
6,77,72,The University of Western Australia
7,82,89,The University of Adelaide
8,88,90,University of Technology Sydney
9,123,140,RMIT University
10,133,130,Macquarie University
11,167,162,University of Wollongong
12,174,183,Curtin University
13,179,173,"The University of Newcastle, Australia (UON)"
14,197,233,Deakin University
15,213,189,Queensland University of Technology (QUT)
16,217,242,La Trobe University
17,255,243,Griffith University
18,291,285,Swinburne University of Technology
19,293,307,University of Tasmania
20,336,380,Flinders University
21,340,326,University of South Australia
22,384,375, Western Sydney University
23,396,410,University of Southern Queensland 
24,403,421,University of Canberra 
25,436,431,Murdoch University
26,445,415,James Cook University
27,495,590,Central Queensland University (CQUniversity Australia)
