,2025 Rank,2024 Rank,Institution Name
0,2,6,Imperial College London
1,3,3,University of Oxford
2,5,2,University of Cambridge
3,9,9,UCL
4,27,22,The University of Edinburgh
5,34,32,The University of Manchester
6,40,40,King's College London
7,50,45,The London School of Economics and Political Science (LSE)
8,54,55,University of Bristol
9,69,67,The University of Warwick
10,78,76,University of Glasgow
11,80,84,University of Birmingham
12,80,81,University of Southampton
13,82,75,University of Leeds
14,89,78,Durham University
15,104,95,University of St Andrews
16,105,104,The University of Sheffield
17,108,100,University of Nottingham
18,120,145,Queen Mary University of London
19,129,110,Newcastle University
20,141,122,Lancaster University
21,150,148,University of Bath
22,165,176,University of Liverpool
23,169,153,The University of Exeter
24,172,169,University of Reading
25,184,167,University of York
26,186,154,Cardiff University
27,206,202,Queen's University Belfast
28,224,212,Loughborough University
29,236,208,University of Aberdeen
30,246,218,University of Sussex
31,256,235,Heriot-Watt University
32,281,276,University of Strathclyde
33,285,272,University of Leicester
34,285,244,University of Surrey
35,298,307,Swansea University
36,332,295,University of East Anglia (UEA)
37,342,343,Brunel University London
38,352,328,"City, University of London"
39,380,336,University of Kent
40,408,374,"Birkbeck, University of London"
41,416,413,Oxford Brookes University
42,418,441, University of Dundee
43,423,446,Aston University
44,452,431,University of Stirling
45,472,459,"Essex, University of"
46,474,481,Bangor University
47,477,413,Royal Holloway University of London
