,2025 Rank,2024 Rank,Institution Name
0,1,1,Massachusetts Institute of Technology (MIT) 
1,4,4,Harvard University
2,6,5,Stanford University
3,10,15,California Institute of Technology (Caltech)
4,11,12,University of Pennsylvania
5,12,10,"University of California, Berkeley (UCB)"
6,16,13,Cornell University
7,21,11,University of Chicago
8,22,17,Princeton University
9,23,16,Yale University
10,32,28,Johns Hopkins University
11,34,23,Columbia University
12,42,29,"University of California, Los Angeles (UCLA)"
13,43,38,New York University (NYU)
14,44,33,University of Michigan-Ann Arbor
15,50,47,Northwestern University
16,58,52,Carnegie Mellon University
17,61,57,Duke University
18,66,58,University of Texas at Austin
19,69,64,University of Illinois at Urbana-Champaign
20,72,62,"University of California, San Diego (UCSD)"
21,76,63,University of Washington
22,79,73,Brown University
23,89,83,Pennsylvania State University
24,89,99,Purdue University
25,108,93,Boston University
26,114,97,Georgia Institute of Technology
27,116,102,University of Wisconsin-Madison
28,125,116,University of Southern California
29,130,118,"University of California, Davis"
30,141,145,Rice University
31,152,136,Michigan State University
32,154,134,Texas A&M University
33,155,132,"University of North Carolina, Chapel Hill"
34,176,154,Washington University in St. Louis
35,178,163,"University of California, Santa Barbara (UCSB)"
36,196,166,Emory University
37,200,179,Arizona State University
38,203,195,University of Minnesota Twin Cities
39,208,151,The Ohio State University
40,215,168,University of Florida
41,218,169,"University of Maryland, College Park"
42,236,224,University of Rochester
43,243,237,Dartmouth College
44,248,261,Vanderbilt University
45,259,255,Case Western Reserve University
46,275,245,University of Massachusetts Amherst
47,275,222,University of Pittsburgh
48,293,285,The University of Arizona
49,297,260,University of Virginia
50,301,297,Georgetown University
51,307,268,"University of California, Irvine"
52,311,274,North Carolina State University
53,316,304,University of Notre Dame
54,320,264,University of Colorado Boulder
55,324,278,University of Miami
56,328,299,Rutgers University–New Brunswick
57,344,379,Tufts University
58,355,313,Indiana University Bloomington
59,365,323,University of Illinois at Chicago (UIC)
60,371,340,George Washington University
61,389,302,Virginia Polytechnic Institute and State University
62,393,332,"University of California, Santa Cruz"
63,396,375,Northeastern University
64,413,369,Yeshiva University
65,442,409,Colorado State University
66,452,410,University of Kansas
67,460,396,"Stony Brook University, State University of New York"
68,466,491,University at Buffalo SUNY
69,466,419,Washington State University
70,470,400,Iowa State University
71,481,446,"The University of Tennessee, Knoxville"
72,488,386,University of Hawai?i at M?noa
73,497,404,"University of California, Riverside"
